Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,EMM_F64,Tremellomycetes,2,4,17.4,7.91,0.2
B44,EMM_F64,Tremellomycetes,2,4,24.86,8.13,0.41
B44,EMM_F64,Tremellomycetes,2,4,31.78,8.27,0.34
B44,EMM_F64,Tremellomycetes,2,4,40.63,8.09,0.36
B44,EMM_F64,Tremellomycetes,2,4,47.75,8.58,0.4
B44,EMM_F64,Tremellomycetes,2,4,54.73,8.53,0.32
B44,EMM_F64,Tremellomycetes,3,4,0,7.5,0.14
B44,EMM_F64,Tremellomycetes,3,4,11.38,7.4,0.03
B44,EMM_F64,Tremellomycetes,3,4,17.4,7.41,0.01
B44,EMM_F64,Tremellomycetes,3,4,24.86,8.6,0.41
B44,EMM_F64,Tremellomycetes,3,4,31.78,9.42,0.33
B44,EMM_F64,Tremellomycetes,3,4,40.63,9.33,0.35
B44,EMM_F64,Tremellomycetes,3,4,47.75,8.9,0.85
B44,EMM_F64,Tremellomycetes,3,4,54.73,9.48,0.01
B44,EMM_F89,Tremellomycetes,1,4,0,8.48,0.58
B44,EMM_F89,Tremellomycetes,1,4,11.38,8.28,0.38
B44,EMM_F89,Tremellomycetes,1,4,17.4,8.33,0.43
B44,EMM_F89,Tremellomycetes,1,4,24.86,7.96,0.49
B44,EMM_F89,Tremellomycetes,1,4,31.78,7.83,0.7
B44,EMM_F89,Tremellomycetes,1,4,40.63,8,0.46
B44,EMM_F89,Tremellomycetes,1,4,47.75,8.06,0.52
B44,EMM_F89,Tremellomycetes,1,4,54.73,8.15,0.47
B44,EMM_F89,Tremellomycetes,2,4,0,5.8,-2.27
B44,EMM_F89,Tremellomycetes,2,4,11.38,7.63,-0.01
B44,EMM_F89,Tremellomycetes,2,4,17.4,8.44,0.7
B44,EMM_F89,Tremellomycetes,2,4,24.86,8.37,0.47
B44,EMM_F89,Tremellomycetes,2,4,31.78,7.4,0.26
B44,EMM_F89,Tremellomycetes,2,4,40.63,8.8,0.34
B44,EMM_F89,Tremellomycetes,2,4,47.75,8.12,0.35
B44,EMM_F89,Tremellomycetes,2,4,54.73,8.35,0.56
B44,EMM_F89,Tremellomycetes,3,4,0,4.04,-3.56
B44,EMM_F89,Tremellomycetes,3,4,11.38,7.77,0.2
B44,EMM_F89,Tremellomycetes,3,4,17.4,8.01,0.19
B44,EMM_F89,Tremellomycetes,3,4,24.86,8.01,0.17
B44,EMM_F89,Tremellomycetes,3,4,31.78,7.93,0.2
B44,EMM_F89,Tremellomycetes,3,4,40.63,8.03,0.42
B44,EMM_F89,Tremellomycetes,3,4,47.75,7.72,0.07
B44,EMM_F89,Tremellomycetes,3,4,54.73,7.49,0.21
B44,EMM_F47,Microbotryomycetes,1,4,0,7.92,0.14
B44,EMM_F47,Microbotryomycetes,1,4,11.38,8.29,0.27
B44,EMM_F47,Microbotryomycetes,1,4,17.4,8.06,0.41
B44,EMM_F47,Microbotryomycetes,1,4,24.86,7.93,0.63
B44,EMM_F47,Microbotryomycetes,1,4,31.78,7.87,0.57
B44,EMM_F47,Microbotryomycetes,1,4,40.63,7.73,0.1
B44,EMM_F47,Microbotryomycetes,1,4,47.75,7.94,0.29
B44,EMM_F47,Microbotryomycetes,1,4,54.73,7.57,0.15
B44,EMM_F47,Microbotryomycetes,2,4,0,8.09,0.5
B44,EMM_F47,Microbotryomycetes,2,4,11.38,8.2,0.48
B44,EMM_F47,Microbotryomycetes,2,4,17.4,8.2,0.19
B44,EMM_F47,Microbotryomycetes,2,4,24.86,8.53,0.05
B44,EMM_F47,Microbotryomycetes,2,4,31.78,8.34,0.43
B44,EMM_F47,Microbotryomycetes,2,4,40.63,8.12,0.18
B44,EMM_F47,Microbotryomycetes,2,4,47.75,6.65,0
B44,EMM_F47,Microbotryomycetes,2,4,54.73,8.14,0.23
B44,EMM_F47,Microbotryomycetes,3,4,0,6.97,-0.95
B44,EMM_F47,Microbotryomycetes,3,4,11.38,8.95,0.62
B44,EMM_F47,Microbotryomycetes,3,4,17.4,9.42,0.21
B44,EMM_F47,Microbotryomycetes,3,4,24.86,9.17,-0.13
B44,EMM_F47,Microbotryomycetes,3,4,31.78,8.6,0.16
B44,EMM_F47,Microbotryomycetes,3,4,40.63,8.79,0.05
B44,EMM_F47,Microbotryomycetes,3,4,47.75,8.8,0.07
B44,EMM_F47,Microbotryomycetes,3,4,54.73,8.34,-0.53
B44,EMM_F49,Microbotryomycetes,1,4,0,7.38,0.25
B44,EMM_F49,Microbotryomycetes,1,4,11.38,7.89,-0.07
B44,EMM_F49,Microbotryomycetes,1,4,17.4,7.89,0.36
B44,EMM_F49,Microbotryomycetes,1,4,24.86,7.03,0.4
B44,EMM_F49,Microbotryomycetes,1,4,31.78,8.09,0.67
B44,EMM_F49,Microbotryomycetes,1,4,40.63,7.7,0.34
